編號,原文,臺灣用語,大陸用語,其他用語,
631,electronic mode control,電子模態控制,,,
632,electronic model,電子模型,,,
633,electronic module,電子模組,,,
634,electronic moving display panel,電子移動顯示面板,,,
635,electronic multiple automatic exchange,電子多重自動交換,,,
636,electronic multiplier,電子乘法器,,,
637,electronic neuron network,電子神經元網路,,,
638,electronic neuron network simulation,電子神經元網路模擬,,,
639,electronic news gathering,電子新聞收集,,,
640,electronic numerical integrator and calculator,電子數值積分器和計算器,,,
641,electronic office,電子辦公室,,,
642,electronic optical,電光,,,
643,electronic orbit,電子軌道,,,
644,electronic overlay,電子覆蓋,,,
645,electronic package,電子套裝軟體,,,
646,electronic packaging,電子封裝,,,
647,electronic page makeup,電子頁面組版,,,
648,electronic parallel digital computer,電子平行數位電腦,,,
649,electronic pen,電子筆,,,
650,electronic penetration,電子穿透,電子滲入 ,,
651,electronic plotter,電子繪圖器,,,
652,electronic print,電子列印,,,
653,electronic print reader,電子列印閱讀機,,,
654,electronic printer,電子列印機,,,
655,electronic processing,電子處理,,,
656,electronic processing equipment,電子處理設備,,,
657,electronic program,電子程式,,,
658,electronic publishing,電子出版,電子出版 ,,
659,electronic publishing system,電子出版系統,電子出版系統 ,,
660,electronic puncher,電子打孔機,,,
661,electronic random number generator,電子亂數產生器,,,
662,electronic reading machine,電子閱讀機,,,
663,electronic reconnaissance,電子偵察,,,
664,electronic reconnaissance accessory,電子偵察附件,,,
665,electronic reconnaissance facility,電子偵察設施,,,
666,electronic reconnaissance system,電子偵察系統,,,
667,electronic record,電子記錄,,,
668,electronic recording machine,電子記錄機,,,
669,electronic recording machine accounting,電子記錄會計機,,,
670,electronic register sender,電子暫存器發送器,,,
671,electronic remote switching,電子遠程交換,,,
672,electronic resolver,電子分解器,,,
673,electronic retina character reader,電子網膜字符閱讀機；電子網膜字元閱讀機,,,
674,electronic retina computing reader,電子網膜計算閱讀機,,,
